age,income,student,cerdit_rat,class
youth,high,no,fair,no
youth,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
youth,low,no,fair,no
youth,medium,yes,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,excel,yes
middle,medium,no,excel,yes
middle,medium,yes,fair,yes
senior,high,no,excel,no
youth,high,no,fair,no
youth,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
youth,low,no,fair,no
youth,medium,yes,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,excel,yes
middle,medium,no,excel,yes
middle,medium,yes,fair,yes
senior,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
youth,low,no,fair,no
youth,medium,yes,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,excel,yes
middle,medium,no,excel,yes
middle,medium,yes,fair,yes
senior,high,no,excel,no
youth,high,no,fair,no
youth,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
youth,high,no,fair,no
youth,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
youth,low,no,fair,no
youth,medium,yes,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,excel,yes
middle,medium,no,excel,yes
middle,medium,yes,fair,yes
senior,high,no,excel,no
youth,high,no,fair,no
youth,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
youth,low,no,fair,no
youth,medium,yes,fair,yes
senior,low,yes,fair,yes
youth,medium,yes,excel,yes
middle,medium,no,excel,yes
middle,medium,yes,fair,yes
senior,high,no,excel,no
middle,high,no,fair,yes
senior,medium,no,fair,yes
senior,medium,yes,fair,yes
senior,low,yes,excel,no
middle,low,yes,excel,yes
